"SecurityTermWeekYear","SecurityTermDayMonth","SecurityType","CUSIP","AnnouncementDate","AuctionDate","IssueDate","MaturityDate","OfferingAmount","CompetitiveTenderAccepted","NonCompetitiveTenderAccepted","TreasuryDirectTenderAccepted","TypeOfAuction","CompetitiveClosingTime","NonCompetitiveClosingTime","NetLongPositionReport","MaxAward","MaxSingleBid","CompetitiveBidDecimals","CompetitiveBidIncrement","AllocationPercentageDecimals","MinBidAmount","MultiplesToBid","MinToIssue","MultiplesToIssue","MatureSecurityAmount","CurrentlyOutstanding","SOMAIncluded","SOMAHoldings","MaturingDate","FIMAIncluded","Series","InterestRate","Spread","FirstInterestPaymentDate","StandardInterestPayment","FrequencyInterestPayment","StrippableIndicator","MinStripAmount","CorpusCUSIP","TINTCUSIP1","TINTCUSIP2","ReOpeningIndicator","OriginalIssueDate","BackDated","BackDatedDate","LongShortNormalCoupon","LongShortCouponFirstIntPmt","InflationIndexSecurity","FloatingRate","RefCPIIssueDate","RefCPIDatedDate","IndexRatioOnIssueDate","CPIBasePeriod","TIINConversionFactor","AccruedInterest","DatedDate","AnnouncedCUSIP","UnadjustedPrice","UnadjustedAccruedInterest","AnnouncementPDFName","OriginalDatedDate","AdjustedAmountCurrentlyOutstanding","NLPExclusionAmount","MaximumNonCompAward","AdjustedAccruedInterest","Callable","CallDate","PrimaryDealerTendered","PrimaryDealerAccepted","DirectBidderTendered","DirectBidderAccepted","IndirectBidderTendered","IndirectBidderAccepted","CompetitiveTendered","CompetitiveAccepted","NonCompetitiveAccepted","SOMATendered","SOMAAccepted","FIMATendered","FIMAAccepted","TotalTendered","TotalAccepted","BidToCoverRatio","ReleaseTime","AmountAcceptedBelowLowRate","HighAllocationPercentage","LowDiscountRate","HighDiscountRate","MedianDiscountRate","LowYield","HighYield","MedianYield","LowDiscountMargin","HighDiscountMargin","MedianDiscountMargin","LowPrice","HighPrice","MedianPrice","OriginalCUSIP","TreasuryDirectAccepted","InvestmentRate","AdjustedPrice","IndexRatio","FRNIndexDeterminationDate","FRNIndexDeterminationRate","ResultsPDFName","AllTenderAccepted","ScheduledPurchasesInTD"
"2-YEAR","0-MONTH","NOTE","912828RD4","2011-08-18","2011-08-23","2011-08-31","2013-08-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","57367000000.0","","N","3395000000.0",NA,"Y","AP-2013","0.125",NA,"2012-02-29","0.625","SEMI-ANNUAL","Y","100","912820YV3","","","N","","N","","N","","N",NA,NA,"","","","","","2011-08-31","","","","A_20110818_2.pdf","","","0.0","5000000.0","","N","","87379500000","18287395000","16386000000","5535935000","16562000000","11029000000","120327500000","34852330000","147747900","1070488700","1070488700","0","0","121545736600","36070566600","3.44","13:01","5","73.87","","","","0.147","0.222","0.209",NA,NA,NA,"","99.806537","","","82751600","","","",NA,NA,"R_20110823_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828QW3","2011-07-21","2011-07-26","2011-08-01","2013-07-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","56934000000.0","","N","2948000000.0",NA,"Y","AN-2013","0.375",NA,"2012-01-31","1.875","SEMI-ANNUAL","Y","100","912820YS0","","","N","","Y","2011-07-31","N","","N",NA,NA,"","","","","0.01019","2011-07-31","","","","A_20110721_4.pdf","","","0.0","5000000.0","","N","","77139000000","18237120000","16092000000","6984890000","16545400000","9648400000","109776400000","34870410000","129633500","1042194000","1042194000","0","0","110948227500","36042237500","3.14","13:01","5","27.89","","","","0.326","0.417","0.395",NA,NA,NA,"","99.916547","","","79386200","","","",NA,NA,"R_20110726_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828RA0","2011-06-23","2011-06-27","2011-06-30","2013-06-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","55249000000.0","","N","3413000000.0",NA,"Y","AM-2013","0.375",NA,"2011-12-31","1.875","SEMI-ANNUAL","Y","100","912820YK7","","","N","","N","","N","","N",NA,NA,"","","","","","2011-06-30","","","","A_20110623_4.pdf","","","0.0","5000000.0","","N","","80138000000","22468375000","16526000000","4714467500","11017610000","7668470000","107681610000","34851312500","148851100","1126806400","1126806400","0","0","108957267500","36126970000","3.08","13:01","5","50.43","","","","0.290","0.395","0.359",NA,NA,NA,"","99.960197","","","78202100","","","",NA,NA,"R_20110627_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828QZ6","2011-05-19","2011-05-24","2011-05-31","2013-05-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","49172000000.0","","N","9259000000.0",NA,"Y","AL-2013","0.500",NA,"2011-11-30","2.500","SEMI-ANNUAL","Y","100","912820YH4","","","N","","N","","N","","N",NA,NA,"","","","","","2011-05-31","","","","A_20110519_3.pdf","","","0.0","5000000.0","","N","","83438000000","17274550000","20709000000","6672700000","16906610000","10904061000","121053610000","34851311000","148731300","2945904300","2945904300","0","0","124148245600","37945946600","3.46","13:01","5","89.70","","","","0.470","0.560","0.540",NA,NA,NA,"","99.880835","","","60213000","","","",NA,NA,"R_20110524_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828QE3","2011-04-21","2011-04-26","2011-05-02","2013-04-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","52642000000.0","","N","6246000000.0",NA,"Y","AK-2013","0.625",NA,"2011-10-31","3.125","SEMI-ANNUAL","Y","100","912820YB7","","","N","","Y","2011-04-30","N","","N",NA,NA,"","","","","0.03397","2011-04-30","","","","A_20110421_3.pdf","","","0.0","5000000.0","","N","","72855700000","16921432000","12972000000","4635895000","20836650000","13132038300","106664350000","34689365300","310702000","2208217500","2208217500","0","0","109183269500","37208284800","3.06","13:01","5","79.79","","","","0.577","0.673","0.640",NA,NA,NA,"","99.905047","","","248390000","","","",NA,NA,"R_20110426_2.pdf","Y","230000000.0"
"2-YEAR","0-MONTH","NOTE","912828QL7","2011-03-24","2011-03-28","2011-03-31","2013-03-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","54462000000.0","","N","4933000000.0",NA,"Y","AJ-2013","0.750",NA,"2011-09-30","3.750","SEMI-ANNUAL","Y","100","912820XX0","","","N","","N","","N","","N",NA,NA,"","","","","","2011-03-31","","","","A_20110324_5.pdf","","","0.0","5000000.0","","N","","75605000000","18593500000","18129000000","4608250000","16617770000","11411020000","110351770000","34612770000","387286900","1569586100","1569586100","0","0","112308643000","36569643000","3.16","13:01","5","9.50","","","","0.686","0.789","0.750",NA,NA,NA,"","99.922763","","","315126900","","","",NA,NA,"R_20110328_3.pdf","Y","288000000.0"
"2-YEAR","0-MONTH","NOTE","912828QK9","2011-02-17","2011-02-22","2011-02-28","2013-02-28","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","53712000000.0","","N","5933000000.0",NA,"Y","AH-2013","0.625",NA,"2011-08-31","3.125","SEMI-ANNUAL","Y","100","912820XT9","","","N","","N","","N","","N",NA,NA,"","","","","","2011-02-28","","","","A_20110217_5.pdf","","","0.0","5000000.0","","N","","75169000000","21427480000","11331000000","2361000000","19351000000","10858240000","105851000000","34646720000","323316000","1922635800","1922635800","30000000","30000000","108126951800","36922671800","3.03","13:01","5","50.16","","","","0.650","0.745","0.714",NA,NA,NA,"","99.762218","","","247875000","","","",NA,NA,"R_20110222_3.pdf","Y","216000000.0"
"2-YEAR","0-MONTH","NOTE","912828PR5","2011-01-20","2011-01-25","2011-01-31","2013-01-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","39466000000.0","","N","2232000000.0",NA,"Y","AG-2013","0.625",NA,"2011-07-31","3.125","SEMI-ANNUAL","Y","100","912820XM4","","","N","","N","","N","","N",NA,NA,"","","","","","2011-01-31","","","","A_20110120_1.pdf","","","0.0","5000000.0","","N","","81863000000","20168464000","17094000000","5166900000","22098000000","9358500000","121055000000","34693864000","306286200","697435800","697435800","0","0","122058722000","35697586000","3.47","13:01","5","26.64","","","","0.530","0.650","0.621",NA,NA,NA,"","99.950404","","","246807200","","","",NA,NA,"R_20110125_2.pdf","Y","210000000.0"
"2-YEAR","0-MONTH","NOTE","912828PW4","2010-12-23","2010-12-27","2010-12-31","2012-12-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","35815000000.0","","N","4962000000.0",NA,"Y","AT-2012","0.625",NA,"2011-06-30","3.125","SEMI-ANNUAL","Y","100","912820XH5","","","N","","N","","N","","N",NA,NA,"","","","","","2010-12-31","","","","A_20101223_2.pdf","","","0.0","5000000.0","","N","","85452000000","19995575000","19108000000","6892355000","25037605000","7839730000","129597605000","34727660000","272505500","1754353400","1754353400","0","0","131624463900","36754518900","3.71","","5","68.25","","","","0.650","0.740","0.720",NA,NA,NA,"","99.772112","","","221776500","","","",NA,NA,"R_20101227_3.pdf","Y","208000000.0"
"2-YEAR","0-MONTH","NOTE","912828PV6","2010-11-18","2010-11-22","2010-11-30","2012-11-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","34619000000.0","","N","3901000000.0",NA,"Y","AS-2012","0.500",NA,"2011-05-31","2.500","SEMI-ANNUAL","Y","100","912820XD4","","","N","","N","","N","","N",NA,NA,"","","","","","2010-11-30","","","","A_20101118_5.pdf","","","0.0","5000000.0","","N","","88020000000","16431180000","17903000000","4993535000","23277150000","13278092000","129200150000","34702807000","297391000","1379124800","1379124800","0","0","130876665800","36379322800","3.70","13:01","5","2.46","","","","0.443","0.520","0.500",NA,NA,NA,"","99.960259","","","244787000","","","",NA,NA,"R_20101122_3.pdf","Y","210000000.0"
"2-YEAR","0-MONTH","NOTE","912828PD6","2010-10-21","2010-10-26","2010-11-01","2012-10-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","33478000000.0","","N","2029000000.0",NA,"Y","AR-2012","0.375",NA,"2011-04-30","1.875","SEMI-ANNUAL","Y","100","912820WX1","","","N","","Y","2010-10-31","N","","N",NA,NA,"","","","","0.01036","2010-10-31","","","","A_20101021_3.pdf","","","0.0","5000000.0","","N","","80942000000","15293675000","16739000000","5513300000","22208500000","13862550000","119889500000","34669525000","330523400","717474600","717474600","0","0","120937498000","35717523000","3.43","13:01","5","38.30","","","","0.310","0.400","0.375",NA,NA,NA,"","99.950315","","","268922400","","","",NA,NA,"R_20101026_2.pdf","Y","246000000.0"
"2-YEAR","0-MONTH","NOTE","912828NX4","2010-09-23","2010-09-27","2010-09-30","2012-09-30","36.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12600000000.0","12600000000","12600000000","3","0.001","2","100","100","100","100","33998000000.0","","N","3150000000.0",NA,"Y","AQ-2012","0.375",NA,"2011-03-31","1.875","SEMI-ANNUAL","Y","100","912820WS2","","","N","","N","","N","","N",NA,NA,"","","","","","2010-09-30","","","","A_20100923_2.pdf","","","0.0","5000000.0","","N","","96728000000","17851500000","14486300000","3834000000","24603000000","13884925000","135817300000","35570425000","419674800","1134162700","1134162700","10000000","10000000","137381137500","37134262500","3.78","13:01","5","25.35","","","","0.350","0.441","0.418",NA,NA,NA,"","99.868724","","","340886800","","","",NA,NA,"R_20100927_3.pdf","Y","315000000.0"
"2-YEAR","0-MONTH","NOTE","912828PH7","2010-08-19","2010-08-24","2010-08-31","2012-08-31","37.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12950000000.0","12950000000","12950000000","3","0.001","2","100","100","100","100","31984000000.0","","N","2669000000.0",NA,"Y","AP-2012","0.375",NA,"2011-02-28","1.875","SEMI-ANNUAL","Y","100","912820WN3","","","N","","N","","N","","N",NA,NA,"","","","","","2010-08-31","","","","A_20100819_2.pdf","","","0.0","5000000.0","","N","","84626000000","21445130000","13410000000","4411847500","17055500000","10687475000","115091500000","36544452500","455620700","905909600","905909600","0","0","116453030300","37905982800","3.12","13:01","5","95.59","","","","0.396","0.498","0.480",NA,NA,NA,"","99.755524","","","357790500","","","",NA,NA,"R_20100824_3.pdf","Y","299000000.0"
"2-YEAR","0-MONTH","NOTE","912828NQ9","2010-07-22","2010-07-27","2010-08-02","2012-07-31","38.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","13300000000.0","13300000000","13300000000","3","0.001","2","100","100","100","100","31006000000.0","","N","3415000000.0",NA,"Y","AN-2012","0.625",NA,"2011-01-31","3.125","SEMI-ANNUAL","Y","100","912820WK9","","","N","","Y","2010-07-31","N","","N",NA,NA,"","","","","0.03397","2010-07-31","","","","A_20100722_1.pdf","","","0.0","5000000.0","","N","","90565000000","20121012500","16800500000","5055000000","18579100000","12301667500","125944600000","37477680000","522435700","1247784500","1247784500","0","0","127714820200","39247900200","3.33","13:01","5","88.09","","","","0.570","0.665","0.639",NA,NA,NA,"","99.920863","","","423014700","","","",NA,NA,"R_20100727_3.pdf","Y","381000000.0"
"2-YEAR","0-MONTH","NOTE","912828NS5","2010-06-17","2010-06-22","2010-06-30","2012-06-30","40.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","14000000000.0","14000000000","14000000000","3","0.001","2","100","100","100","100","30003000000.0","","N","3216000000.0",NA,"Y","AM-2012","0.625",NA,"2010-12-31","3.125","SEMI-ANNUAL","Y","100","912820WE3","","","N","","N","","N","","N",NA,NA,"","","","","","2010-06-30","","","","A_20100617_2.pdf","","","0.0","5000000.0","","N","","88936000000","14748340000","20782000000","8427620000","27998600000","16391600000","137716600000","39567560000","432579900","1157955700","1157955700","0","0","139307135600","41158095600","3.45","13:01","5","70.18","","","","0.647","0.738","0.720",NA,NA,NA,"","99.776070","","","352419900","","","",NA,NA,"R_20100622_2.pdf","Y","296000000.0"
"2-YEAR","0-MONTH","NOTE","912828NE6","2010-05-20","2010-05-25","2010-06-01","2012-05-31","42.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","14700000000.0","14700000000","14700000000","3","0.001","2","100","100","100","100","29952000000.0","","N","2455000000.0",NA,"Y","AL-2012","0.750",NA,"2010-11-30","3.750","SEMI-ANNUAL","Y","100","912820VY0","","","N","","Y","2010-05-31","N","","N",NA,NA,"","","","","0.02049","2010-05-31","","","","A_20100520_1.pdf","","","0.0","5000000.0","","N","","87502500000","20178610000","15752000000","6300030000","19277500000","15037085000","122532000000","41515725000","484409600","912662600","912662600","0","0","123929072200","42912797200","2.93","13:01","5","91.01","","","","0.660","0.769","0.730",NA,NA,NA,"","99.962406","","","372134600","","","",NA,NA,"R_20100525_2.pdf","Y","320000000.0"
"2-YEAR","0-MONTH","NOTE","912828NB2","2010-04-22","2010-04-27","2010-04-30","2012-04-30","44.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","15400000000.0","15400000000","15400000000","3","0.001","2","100","100","100","100","30000000000.0","","N","2752000000.0",NA,"Y","AK-2012","1.000",NA,"2010-10-31","5.000","SEMI-ANNUAL","Y","100","912820VT1","","","N","","N","","N","","N",NA,NA,"","","","","","2010-04-30","","","","A_20100422_4.pdf","","","0.0","5000000.0","","N","","93473000000","20704660000","19247000000","9315000000","19941500000","13511625000","132661500000","43531285000","468743700","938604100","938604100","0","0","134068847800","44938632800","3.03","13:01","5","63.61","","","","0.910","1.024","0.980",NA,NA,NA,"","99.952608","","","345821700","","","",NA,NA,"R_20100427_2.pdf","Y","297000000.0"
"2-YEAR","0-MONTH","NOTE","912828MU1","2010-03-18","2010-03-23","2010-03-31","2012-03-31","44.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","15400000000.0","15400000000","15400000000","3","0.001","2","100","100","100","100","28000000000.0","","N","3992000000.0",NA,"Y","AJ-2012","1.000",NA,"2010-09-30","5.000","SEMI-ANNUAL","Y","100","912820VN4","","","N","","N","","N","","N",NA,NA,"","","","","","2010-03-31","","","","A_20100318_4.pdf","","","0.0","5000000.0","","N","","92660000000","22374000000","16129000000","6007064000","22855400000","15136368000","131644400000","43517432000","457708900","1488393700","1488393700","25000000","25000000","133615502600","45488534600","3.00","13:01","5","56.32","","","","0.891","1.000","0.960",NA,NA,NA,"","100.000000","","","347860900","","","",NA,NA,"R_20100323_2.pdf","Y","292000000.0"
"2-YEAR","0-MONTH","NOTE","912828MQ0","2010-02-18","2010-02-23","2010-03-01","2012-02-29","44.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","15400000000.0","15400000000","15400000000","3","0.001","2","100","100","100","100","26000000000.0","","N","2900000000.0",NA,"Y","AH-2012","0.875",NA,"2010-08-31","4.375","SEMI-ANNUAL","Y","100","912820VL8","","","N","","Y","2010-02-28","N","","N",NA,NA,"","","","","0.02378","2010-02-28","","","","A_20100218_1.pdf","","","0.0","5000000.0","","N","","96000000000","16654832500","14289000000","3572000000","35841000000","23332000000","146130000000","43558832500","391172800","1081378100","1081378100","50000000","50000000","147652550900","45081383400","3.33","13:01","5","14.79","","","","0.800","0.895","0.865",NA,NA,NA,"","99.960486","","","316788800","","","",NA,NA,"R_20100223_2.pdf","Y","271000000.0"
"2-YEAR","0-MONTH","NOTE","912828MJ6","2010-01-21","2010-01-26","2010-02-01","2012-01-31","44.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","15400000000.0","15400000000","15400000000","3","0.001","2","100","100","100","100","24997000000.0","","N","1923000000.0",NA,"Y","AG-2012","0.875",NA,"2010-07-31","4.375","SEMI-ANNUAL","Y","100","912820VD6","","","N","","Y","2010-01-31","N","","N",NA,NA,"","","","","0.02417","2010-01-31","","","","A_20100121_3.pdf","","","0.0","5000000.0","","N","","94501000000","20057085000","10496000000","4685395000","32042000000","18751975000","137039000000","43494455000","455599800","716982800","716982800","50000000","50000000","138261582600","44717037600","3.13","13:01","5","88.79","","","","0.738","0.880","0.838",NA,NA,NA,"","99.990112","","","353624800","","","",NA,NA,"R_20100126_2.pdf","Y","314000000.0"
